timekey,M1,M2,GDP,REAL_GDP,PERSONAL_INCOME,DISPOSABLE_INCOME,PCE,SAVING_RATE,UNEMPLOYMENT,NONFARM_PAYROLL,LABOR_FORCE,FED_FUNDS,TREASURY_3M,TREASURY_2Y,TREASURY_5Y,TREASURY_10Y,TREASURY_30Y,BBB_CORPORATE,CPI,CORE_CPI,PCE_INFLATION,INDUSTRIAL_PRODUCTION,RETAIL_SALES,HOUSE_PRICE_INDEX,M1_AVG,M2_AVG,GDP_AVG,REAL_GDP_AVG,PERSONAL_INCOME_AVG,DISPOSABLE_INCOME_AVG,PCE_AVG,SAVING_RATE_AVG,UNEMPLOYMENT_AVG,NONFARM_PAYROLL_AVG,LABOR_FORCE_AVG,FED_FUNDS_AVG,TREASURY_3M_AVG,TREASURY_2Y_AVG,TREASURY_5Y_AVG,TREASURY_10Y_AVG,TREASURY_30Y_AVG,BBB_CORPORATE_AVG,CPI_AVG,CORE_CPI_AVG,PCE_INFLATION_AVG,INDUSTRIAL_PRODUCTION_AVG,RETAIL_SALES_AVG,HOUSE_PRICE_INDEX_AVG
100,1370.9,6448.4,12767.286,15844.727,10347.9,11268.8,8598.4,2.5,5.2,133152.0,148391.0,2.63,2.79,3.8,4.18,4.5,4.76,6.14,193.1,200.1,81.375,96.4345,294743.0,165.81400000000002,1369.7,6439.5,12767.286,15844.727,10292.533333333333,11241.433333333334,8551.733333333334,2.5,5.3,132988.66666666666,148261.33333333334,2.47,2.5891803278688523,3.4549180327868854,3.8908196721311477,4.303606557377049,4.704262295081967,5.970327868852459,192.36666666666667,199.5,81.13799999999999,96.29463333333332,292854.6666666667,163.48233333333334
101,1380.1,6511.8,12922.656,15922.782,10498.0,11375.5,8753.4,2.0,5.0,133947.0,149238.0,3.04,3.13,3.66,3.72,3.94,4.19,5.81,193.7,200.6,81.7,97.1483,305083.0,171.19299999999998,1368.1666666666667,6484.333333333333,12922.656,15922.782,10458.066666666668,11344.133333333333,8701.133333333333,2.2333333333333334,5.1000000000000005,133718.33333333334,149141.66666666666,2.9433333333333334,2.92671875,3.6459375,3.87296875,4.15859375,4.4701562500000005,5.969375,193.66666666666666,200.4333333333333,81.65066666666667,96.83603333333333,299183.3333333333,169.35
102,1378.6,6610.3,13142.642,16047.587,10687.7,11365.2,8900.4,2.0,5.0,134554.0,149954.0,3.62,3.55,4.18,4.18,4.34,4.53,6.15,198.8,201.3,83.172,95.2764,304187.0,176.44,1375.1333333333332,6576.833333333333,13142.642,16047.587,10621.866666666667,11385.866666666667,8868.1,1.8,4.966666666666667,134452.33333333334,149721.66666666666,3.4599999999999995,3.43828125,3.95796875,4.039375,4.21515625,4.42515625,5.98109375,196.6,201.1,82.53166666666667,96.42483333333332,304907.6666666667,174.582
103,1374.3,6688.0,13324.204,16136.734,10853.1,11535.2,8981.1,2.5,4.9,135158.0,150030.0,4.16,4.08,4.41,4.35,4.39,4.51,6.21,198.1,202.8,83.131,97.9723,306723.0,180.912,1375.6333333333332,6664.3,13324.204,16136.734,10811.933333333332,11488.0,8955.266666666668,2.466666666666667,4.966666666666667,134933.33333333334,150032.0,3.98,3.913606557377049,4.364590163934427,4.3911475409836065,4.488196721311475,4.654262295081968,6.336065573770492,198.4333333333333,202.4333333333333,83.18900000000001,97.305,305759.3333333333,179.54166666666666
104,1383.2,6769.5,13599.16,16353.835,11171.8,11747.5,9132.9,3.3,4.7,136036.0,150813.0,4.59,4.63,4.82,4.82,4.86,4.9,6.55,199.7,204.3,83.746,98.3913,314471.0,184.365,1380.3666666666668,6751.566666666667,13599.16,16353.835,11104.333333333334,11700.699999999999,9100.166666666666,3.1666666666666665,4.733333333333333,135731.0,150556.0,4.456666666666667,4.506612903225807,4.6046774193548385,4.55241935483871,4.577096774193548,4.632741935483871,6.311774193548387,199.46666666666667,203.70000000000002,83.62133333333334,98.229,314492.3333333333,183.32433333333333
105,1375.4,6852.1,13753.424,16396.151,11292.8,11751.9,9259.6,2.9,4.6,136335.0,151354.0,4.99,5.01,5.16,5.1,5.15,5.19,6.82,201.8,205.9,84.569,99.0398,316978.0,183.507,1381.3333333333333,6824.333333333333,13753.424,16396.151,11257.800000000001,11744.366666666667,9227.666666666666,2.966666666666667,4.633333333333333,136264.0,151101.33333333334,4.906666666666667,4.830158730158731,4.997936507936508,4.993174603174603,5.072698412698412,5.143015873015873,6.737777777777778,201.26666666666665,205.36666666666667,84.355,98.80993333333333,315997.0,183.99800000000002
106,1364.4,6952.6,13870.188,16420.738,11383.9,11800.1,9375.4,2.4,4.5,136829.0,151662.0,5.25,4.89,4.71,4.59,4.64,4.77,6.36,202.8,207.2,84.902,99.2246,316400.0,182.798,1369.7333333333336,6923.933333333333,13870.188,16420.738,11350.933333333334,11761.333333333334,9353.800000000001,2.4,4.633333333333334,136683.66666666666,151585.0,5.246666666666667,5.035079365079365,4.929047619047618,4.842222222222222,4.893492063492064,4.994285714285714,6.593174603174603,203.16666666666666,206.76666666666665,84.96166666666666,99.20146666666666,317728.6666666667,182.819
107,1366.6,7080.4,14039.56,16561.866,11587.6,11958.6,9488.3,2.6,4.4,137249.0,152732.0,5.24,5.02,4.82,4.7,4.71,4.81,6.35,203.1,208.1,85.032,100.1125,320312.0,184.138,1369.2333333333333,7039.966666666667,14039.56,16561.866,11494.9,11904.733333333332,9427.366666666667,2.566666666666667,4.433333333333334,137052.0,152393.0,5.246666666666667,5.031774193548387,4.737580645161291,4.601774193548387,4.630645161290323,4.741935483870968,6.283225806451613,202.33333333333334,207.83333333333334,84.82166666666666,99.4439,317860.0,183.648
108,1366.5,7168.5,14215.651,16611.69,11821.4,12035.1,9611.7,3.0,4.4,137782.0,153051.0,5.26,5.04,4.58,4.54,4.65,4.84,6.4,205.288,209.418,85.894,100.8952,323708.0,184.149,1367.0666666666666,7140.533333333333,14215.651,16611.69,11734.233333333332,11995.9,9572.133333333333,2.733333333333333,4.5,137604.0,153059.33333333334,5.256666666666667,5.114032258064516,4.760483870967741,4.643387096774194,4.679032258064517,4.796451612903225,6.295645161290322,204.317,209.05100000000002,85.597,100.45546666666667,321815.6666666667,184.42099999999996
109,1368.2,7288.1,14402.082,16713.314,11929.2,12053.3,9706.8,2.7,4.6,138069.0,153041.0,5.25,4.82,4.87,4.92,5.03,5.12,6.62,207.234,210.392,86.529,101.6547,324076.0,180.253,1375.7,7261.333333333333,14402.082,16713.314,11902.0,12055.333333333334,9678.733333333332,2.8333333333333335,4.5,137969.0,152715.33333333334,5.25,4.87203125,4.80375,4.76078125,4.84609375,4.98890625,6.4903125,206.631,210.06566666666666,86.32366666666667,101.61796666666667,324740.0,181.62099999999998
110,1375.7,7413.3,14564.117,16809.587,12025.5,12089.6,9845.1,2.3,4.7,138101.0,153414.0,4.94,3.82,3.97,4.23,4.59,4.83,6.59,208.547,211.554,87.054,101.9428,328668.0,177.55700000000002,1374.6000000000001,7375.8,14564.117,16809.587,11981.433333333334,12075.633333333333,9798.366666666667,2.3666666666666667,4.666666666666667,138052.66666666666,153072.33333333334,5.073333333333333,4.434285714285714,4.3907936507936505,4.512698412698413,4.738412698412698,4.948888888888889,6.634126984126984,207.939,211.14866666666668,86.81166666666667,101.7108,327189.0,178.261
111,1373.4,7484.2,14715.058,16915.191,12182.7,12120.5,9972.8,2.4,5.0,138395.0,153918.0,4.24,3.36,3.05,3.45,4.04,4.45,6.56,211.445,213.168,87.984,102.2764,329259.0,174.34,1374.8666666666668,7455.466666666667,14715.058,16915.191,12110.766666666668,12090.333333333334,9937.133333333333,2.1666666666666665,4.8,138287.66666666666,153645.33333333334,4.496666666666667,3.491612903225806,3.4896774193548388,3.79758064516129,4.266612903225807,4.612258064516129,6.505806451612903,210.4896666666667,212.635,87.69433333333332,102.0459,331274.6666666667,175.37
